predicted_rank,player_id,player_name,team,position,games,predicted_expected_votes,total_coaches_votes,avg_expected_votes_per_game,number_of_matches_predicted_above_0_5,number_of_matches_predicted_above_1_0,number_of_matches_predicted_above_2_0,best_predicted_match_votes,best_predicted_match_id
645,12839,Matthew Owies,West Coast,FPL,3,0.007808808689843527,0.0,0.0026029362299478426,0,0,0,0.007808808689843527,17101
646,12935,Maurice Rioli,Richmond,HFFL,10,0.0073823010241860845,0.0,0.0007382301024186084,0,0,0,0.003760120180934673,17110
647,13044,Elijah Hewett,West Coast,HFFL,6,0.00704524161497026,0.0,0.0011742069358283767,0,0,0,0.00704524161497026,17101
648,12987,Luke Cleary,Western Bulldogs,INT,2,0.005667944277367824,0.0,0.002833972138683912,0,0,0,0.005667944277367824,17157
649,13215,Sam Marshall,Brisbane Lions,INT,2,0.005212251582056251,0.0,0.0026061257910281253,0,0,0,0.005212251582056251,17140
650,13267,Jacob Newton,West Coast,HFFL,3,0.004953675813999685,0.0,0.0016512252713332283,0,0,0,0.004953675813999685,17085
651,13314,Lachlan Smith,Western Bulldogs,CHB,2,0.00453262228360723,0.0,0.002266311141803615,0,0,0,0.00453262228360723,17133
652,12454,Eric Hipwood,Brisbane Lions,FPL,10,0.0017136057473210817,0.0,0.00017136057473210816,0,0,0,0.0017136057473210817,17240
653,13142,Shadeau Brain,Brisbane Lions,INT,2,0.0010251398275173754,0.0,0.0005125699137586877,0,0,0,0.0010251398275173754,17168
654,13345,Oliver Francou,West Coast,INT,4,0.0,0.0,0.0,0,0,0,0.0,17196
655,13364,Tobyn Murray,Fremantle,HFFR,1,0.0,0.0,0.0,0,0,0,0.0,17259
656,13189,Harry Armstrong,Richmond,FPR,4,0.0,0.0,0.0,0,0,0,0.0,17064
657,13202,Will McLachlan,Brisbane Lions,INT,1,0.0,0.0,0.0,0,0,0,0.0,17156
658,12654,Darragh Joyce,Brisbane Lions,BPL,3,0.0,0.0,0.0,0,0,0,0.0,17087
659,13133,Lachlan Sullivan,Collingwood,CHF,2,0.0,0.0,0.0,0,0,0,0.0,17087
660,11937,Jamie Cripps,West Coast,FPR,5,0.0,0.0,0.0,0,0,0,0.0,17072
661,12588,Bailey Banfield,Fremantle,INT,1,0.0,0.0,0.0,0,0,0,0.0,17259
662,13336,Taylor Goad,North Melbourne,INT,2,0.0,0.0,0.0,0,0,0,0.0,17176
663,12520,Zac Fisher,North Melbourne,INT,1,0.0,0.0,0.0,0,0,0,0.0,17167
664,12914,Brandon Walker,Fremantle,CHB,1,0.0,0.0,0.0,0,0,0,0.0,17067
665,12947,Josh Gibcus,Richmond,INT,1,0.0,0.0,0.0,0,0,0,0.0,17064
666,13325,Harrison Oliver,Greater Western Sydney,INT,5,0.0,0.0,0.0,0,0,0,0.0,17148
667,13329,Mitch Podhajski,Collingwood,FF,2,0.0,0.0,0.0,0,0,0,0.0,17172
668,13183,Aidan Johnson,Melbourne,INT,1,0.0,0.0,0.0,0,0,0,0.0,17210
