feature,historical_missing_pct,2026_missing_pct,historical_mean,2026_mean,historical_std,2026_std,historical_min,historical_max,2026_min,2026_max,standardized_mean_diff,status,is_critical
player_age,0.0,0.0,25.39462764023965,25.828067671646714,3.8294947213377357,4.140412571277491,18.22,47.14,18.30663929,38.61875428,0.11318465305408533,READY,False
coaches_votes,0.0,0.0,0.6675003100326568,0.6521739130434783,1.9665572941767115,1.966903980835007,0.0,10.0,0.0,10.0,-0.007793516636694174,READY,True
supercoach_score,0.0,0.0,73.43154478938447,71.746481831548,30.109420787236573,28.954611027473145,-12.0,232.0,-4.0,223.0,-0.05596464208805968,READY,True
afl_fantasy_score,0.0,0.0,68.1221838700343,66.96555345515648,27.694703915201906,26.28098014128403,-3.0,200.0,-3.0,182.0,-0.04176359561089,READY,True
rating_points,0.0,0.0,9.048048861146707,8.841535391724427,5.476820235308571,5.404433626232462,-10.5,40.9,-12.0,36.9,-0.037706819020808094,READY,True
kicks,0.0,0.0,9.324283824562855,9.245956731779039,4.7026231694868,4.732859047842478,0.0,37.0,0.0,39.0,-0.01665604280012168,READY,False
marks,0.0,0.0,4.000103344218925,4.005881117412308,2.566446930126004,2.5860603807676346,0.0,21.0,0.0,19.0,0.002251273200143504,READY,False
handballs,0.0,0.0,6.775422677855401,6.77021634110481,4.384896269962581,4.188565984592169,0.0,35.0,0.0,27.0,-0.0011873340736143943,READY,False
disposals,0.0,0.0,16.099706502418254,16.01617307288385,7.34610198021073,7.193979129483734,0.0,54.0,0.0,47.0,-0.011371123047220374,READY,True
effective_disposals,0.0,0.0,11.704497540407589,11.791010291955471,5.820919169068102,5.88379675247627,0.0,45.0,0.0,40.0,0.014862386684151938,READY,False
goals,0.0,0.0,0.5339279070728783,0.5615416929216551,0.9412186178577789,0.9694653677408023,0.0,11.0,0.0,10.0,0.02933833365050303,READY,True
behinds,0.0,0.0,0.3818982266132033,0.41178323881537493,0.706096387534415,0.7465495267169414,0.0,7.0,0.0,7.0,0.04232426723853628,READY,False
hitouts,0.0,0.0,1.6826195692612955,1.551459777357698,6.5718941631636305,5.9719197686374885,0.0,80.0,0.0,60.0,-0.01995768474768907,READY,False
tackles,0.0,0.0,2.747478401058245,2.493383742911153,2.258298131008632,2.0979602373307262,0.0,20.0,0.0,19.0,-0.11251599364057595,READY,True
rebounds,0.0,0.0,1.6553883675747179,1.7059441293845832,1.9477178420331172,1.992071343292934,0.0,18.0,0.0,13.0,0.025956409454612223,READY,False
inside_fifties,0.0,0.0,2.2770451820925137,2.3038227263180002,1.9323612378328092,1.9437538044468086,0.0,16.0,0.0,15.0,0.013857421532382931,READY,False
clearances,0.0,0.0,1.6256045636807077,1.5687880697332492,2.2368244335973624,2.207906175805493,0.0,20.0,0.0,17.0,-0.02540051561225286,READY,True
clangers,0.0,0.0,2.4131495184159397,2.434362528880487,1.7570911266690854,1.750642494044589,0.0,15.0,0.0,12.0,0.012072800404359702,READY,False
free_kicks_for,0.0,0.0,0.8325100243892357,0.8187355597563537,0.9846254111728786,0.9786684801979234,0.0,9.0,0.0,8.0,-0.013989548184089592,READY,False
free_kicks_against,0.0,0.0,0.831435244512422,0.8180004200798152,0.9787461630501957,0.9598381252907795,0.0,9.0,0.0,8.0,-0.013726566641894238,READY,False
contested_possessions,0.0,0.0,6.073457070811459,5.613001470279353,3.691785261043333,3.4514489394054966,0.0,32.0,0.0,26.0,-0.12472437262019331,READY,True
uncontested_possessions,0.0,0.0,9.840570873465339,9.909157739970594,5.30085868771889,5.242150407351581,0.0,38.0,0.0,36.0,0.012938821905243016,READY,False
contested_marks,0.0,0.0,0.46998883882435616,0.39025414828817473,0.8410689115555032,0.7363087469528781,0.0,9.0,0.0,8.0,-0.09480161427999664,READY,False
marks_inside_fifty,0.0,0.0,0.5088255962961432,0.5392774627179164,0.9710922680450517,1.0260656183606172,0.0,12.0,0.0,9.0,0.031358365650544416,READY,False
one_percenters,0.0,0.0,2.0709251374478113,1.838899390884268,2.3186522656996824,2.1744830180818906,0.0,25.0,0.0,19.0,-0.10006922986941583,READY,False
bounces,0.0,0.0,0.26673142904385927,0.3506616257088847,0.7520948068954734,0.9000076340722356,0.0,15.0,0.0,12.0,0.11159523492985654,READY,False
goal_assists,0.0,0.0,0.3712951097515605,0.41304347826086957,0.6614245219207804,0.6902702800733694,0.0,6.0,0.0,5.0,0.06311887014420269,READY,False
time_on_ground_percentage,0.0,0.0,80.08970278202638,78.26233984457046,13.928304203584082,11.512042233309439,0.0,100.0,1.0,100.0,-0.13119780489757632,READY,False
centre_clearances,0.0,0.0,0.5321503865073788,0.5595463137996219,1.0630767517668316,1.132663177357053,0.0,11.0,0.0,9.0,0.025770413327834685,READY,False
stoppage_clearances,0.0,0.0,1.0927721053284278,1.0092417559336273,1.534632306400686,1.4296214647056806,0.0,14.0,0.0,11.0,-0.05443020392989897,READY,False
score_involvements,0.0,0.0,4.033235500806085,4.255198487712666,2.6310825841702874,2.6109226523211198,0.0,21.0,0.0,19.0,0.08436184718868374,READY,True
metres_gained,0.0,0.0,249.8405915423091,261.66582650703634,147.1722182846992,151.74583386285175,-92.0,1169.0,-38.0,1060.0,0.08034964141025415,READY,True
turnovers,0.0,0.0,2.9817804142036293,2.8276622558286073,2.0183497245055,1.9376423586601375,0.0,17.0,0.0,13.0,-0.07635850046392789,READY,False
intercepts,0.0,0.0,2.9993696002645613,2.8395295106070155,2.6076662223297933,2.4565716688648123,0.0,22.0,0.0,18.0,-0.061296222763793096,READY,False
tackles_inside_fifty,0.0,0.0,0.47676821958579635,0.47101449275362317,0.8435284875991353,0.8350138850435505,0.0,9.0,0.0,8.0,-0.006821022546078474,READY,False
contest_def_losses,0.0,0.0,0.1890269108346079,0.1157319890779248,0.5153564890841782,0.39084999275970467,0.0,7.0,0.0,6.0,-0.14222178881832442,READY,False
contest_def_one_on_ones,0.0,0.0,0.6880451407548261,0.4478050829657635,1.3506993635504798,1.002703997084768,0.0,15.0,0.0,11.0,-0.1778634567188675,READY,False
contest_off_one_on_ones,0.0,0.0,0.6880761440205035,0.1157319890779248,1.355857438074182,0.3964530466198421,0.0,18.0,0.0,6.0,-0.4221270901131897,READY,False
contest_off_wins,0.0,0.0,0.18903724525650034,0.4477000630119723,0.5386590558335662,0.9982894008776353,0.0,8.0,0.0,10.0,0.4801976592692671,READY,False
def_half_pressure_acts,0.0,0.0,5.938675540490265,5.4594622978365885,3.8807526342195153,3.601993467821572,0.0,31.0,0.0,29.0,-0.12348461440909496,READY,False
effective_kicks,0.0,0.0,6.135298251415816,6.21340054610376,3.683404079771625,3.886375498361553,0.0,36.0,0.0,27.0,0.02120383563586272,READY,False
f50_ground_ball_gets,0.0,0.0,0.6925509486999297,0.6531190926275993,1.0382522441163944,0.9804973757054385,0.0,9.0,0.0,7.0,-0.03797907136323022,READY,False
ground_ball_gets,0.0,0.0,4.133768756975734,3.7534131484982147,2.801558192757711,2.57566953030118,0.0,22.0,0.0,19.0,-0.13576573546134946,READY,False
hitouts_to_advantage,0.0,0.0,0.4847153900210822,0.4483301827347196,2.0236257231437715,1.8441275647715494,0.0,27.0,0.0,19.0,-0.017980205959151858,READY,False
intercept_marks,0.0,0.0,0.6686784341283949,0.6241335853812224,1.1113219314830916,1.0447287977773483,0.0,10.0,0.0,8.0,-0.04008275863657802,READY,False
marks_on_lead,0.0,0.0,0.33920672977553634,0.49936988027725265,0.7381248309453324,0.8675852412005668,0.0,13.0,0.0,9.0,0.21698653640549107,READY,False
pressure_acts,0.0,0.0,12.610909015749659,11.454211300147028,6.545039217696192,5.922516675656886,0.0,48.0,0.0,42.0,-0.17672892050443365,READY,False
ruck_contests,0.0,0.0,4.033545533462858,3.952846040747742,14.604915163258488,13.873147403208764,0.0,134.0,0.0,110.0,-0.00552550232665036,READY,False
score_launches,0.0,0.0,0.9847153900210822,1.054400336063852,1.1565832427948877,1.2201189816442701,0.0,12.0,0.0,12.0,0.0602506965900491,READY,False
shots_at_goal,0.0,0.0,1.1010396428423794,1.1698172652804033,1.5033047364379308,1.5804048187204196,0.0,19.0,0.0,12.0,0.04575095173383936,READY,False
spoils,0.0,0.0,1.4811190112025134,1.3310228943499265,2.113127311117965,2.003584012665856,0.0,24.0,0.0,18.0,-0.0710303236643028,READY,False
team_won,0.0,0.0,0.44287131577859534,0.4927536231884058,0.4967281583951549,0.4999737415644595,0.0,1.0,0.0,1.0,0.10042174289247427,READY,True
close_game,0.0,0.0,0.2577818196850068,0.28019323671497587,0.4374155123380032,0.4491171005281504,0.0,1.0,0.0,1.0,0.0512359904891785,READY,True
blowout,0.0,0.0,0.319250961101236,0.34299516908212563,0.4661888361362503,0.4747348225551101,0.0,1.0,0.0,1.0,0.050932596708407725,READY,False
is_2020,0.0,0.0,0.06957132817990162,0.0,0.25442450243874054,0.0,0.0,1.0,0.0,0.0,-0.2734458651310629,READY,False
goals_3p,0.0,0.0,0.047352321111157045,0.05398025624868725,0.21239243156936316,0.2259906009926536,0.0,1.0,0.0,1.0,0.03120607965432917,READY,False
goals_5p,0.0,0.0,0.0062833285106031166,0.006931316950220542,0.07901843342322289,0.08296985448087145,0.0,1.0,0.0,1.0,0.008200471858848403,READY,False
