season,player_position,votes,vote_share,n_three_votes,three_share
2017,WL,78.0,0.06565656565656566,13,0.06565656565656566
2017,WR,55.0,0.046296296296296294,7,0.03535353535353535
2018,BPL,15.0,0.012626262626262626,3,0.015151515151515152
2018,BPR,16.0,0.013468013468013467,3,0.015151515151515152
2018,C,172.0,0.1447811447811448,30,0.15151515151515152
2018,CHB,31.0,0.026094276094276093,4,0.020202020202020204
2018,CHF,58.0,0.04882154882154882,9,0.045454545454545456
2018,FB,19.0,0.015993265993265993,2,0.010101010101010102
2018,FF,87.0,0.07323232323232323,18,0.09090909090909091
2018,FPL,44.0,0.037037037037037035,7,0.03535353535353535
2018,FPR,34.0,0.02861952861952862,5,0.025252525252525252
2018,HBFL,45.0,0.03787878787878788,8,0.04040404040404041
2018,HBFR,25.0,0.021043771043771045,4,0.020202020202020204
2018,HFFL,43.0,0.0361952861952862,3,0.015151515151515152
2018,HFFR,55.0,0.046296296296296294,7,0.03535353535353535
2018,INT,63.0,0.05303030303030303,11,0.05555555555555555
2018,R,147.0,0.12373737373737374,26,0.13131313131313133
2018,RK,76.0,0.06397306397306397,11,0.05555555555555555
2018,RR,151.0,0.1271043771043771,29,0.14646464646464646
2018,WL,66.0,0.05555555555555555,15,0.07575757575757576
2018,WR,41.0,0.034511784511784514,3,0.015151515151515152
2019,BPL,10.0,0.008417508417508417,2,0.010101010101010102
2019,BPR,16.0,0.013468013468013467,2,0.010101010101010102
2019,C,228.0,0.1919191919191919,48,0.24242424242424243
2019,CHB,15.0,0.012626262626262626,3,0.015151515151515152
2019,CHF,46.0,0.03872053872053872,6,0.030303030303030304
2019,FB,9.0,0.007575757575757576,1,0.005050505050505051
2019,FF,58.0,0.04882154882154882,9,0.045454545454545456
2019,FPL,44.0,0.037037037037037035,8,0.04040404040404041
2019,FPR,51.0,0.04292929292929293,8,0.04040404040404041
2019,HBFL,29.0,0.02441077441077441,3,0.015151515151515152
2019,HBFR,20.0,0.016835016835016835,3,0.015151515151515152
2019,HFFL,38.0,0.03198653198653199,7,0.03535353535353535
2019,HFFR,32.0,0.026936026936026935,3,0.015151515151515152
2019,INT,64.0,0.05387205387205387,7,0.03535353535353535
2019,R,174.0,0.14646464646464646,31,0.15656565656565657
2019,RK,74.0,0.06228956228956229,12,0.06060606060606061
2019,RR,166.0,0.13973063973063973,30,0.15151515151515152
2019,WL,48.0,0.04040404040404041,6,0.030303030303030304
2019,WR,66.0,0.05555555555555555,9,0.045454545454545456
2020,BPL,13.0,0.014161220043572984,0,0.0
2020,BPR,8.0,0.008714596949891068,1,0.006535947712418301
2020,C,146.0,0.15904139433551198,25,0.16339869281045752
2020,CHB,21.0,0.02287581699346405,4,0.026143790849673203
2020,CHF,31.0,0.03376906318082789,4,0.026143790849673203
2020,FB,13.0,0.014161220043572984,2,0.013071895424836602
2020,FF,56.0,0.06100217864923747,10,0.06535947712418301
2020,FPL,26.0,0.02832244008714597,4,0.026143790849673203
2020,FPR,41.0,0.044662309368191724,9,0.058823529411764705
2020,HBFL,15.0,0.016339869281045753,0,0.0
2020,HBFR,14.0,0.015250544662309368,1,0.006535947712418301
2020,HFFL,29.0,0.03159041394335512,6,0.0392156862745098
2020,HFFR,34.0,0.037037037037037035,4,0.026143790849673203
2020,INT,67.0,0.07298474945533769,12,0.0784313725490196
2020,R,150.0,0.16339869281045752,32,0.20915032679738563
2020,RK,46.0,0.05010893246187364,4,0.026143790849673203
2020,RR,142.0,0.15468409586056645,27,0.17647058823529413
2020,WL,32.0,0.034858387799564274,3,0.0196078431372549
2020,WR,34.0,0.037037037037037035,5,0.032679738562091505
2021,BPL,12.0,0.010101010101010102,3,0.015151515151515152
2021,BPR,13.0,0.010942760942760943,1,0.005050505050505051
2021,C,212.0,0.17845117845117844,35,0.17676767676767677
2021,CHB,23.0,0.01936026936026936,0,0.0
2021,CHF,47.0,0.03956228956228956,4,0.020202020202020204
2021,FB,8.0,0.006734006734006734,1,0.005050505050505051
2021,FF,73.0,0.061447811447811446,11,0.05555555555555555
2021,FPL,41.0,0.034511784511784514,9,0.045454545454545456
2021,FPR,57.0,0.047979797979797977,13,0.06565656565656566
2021,HBFL,31.0,0.026094276094276093,5,0.025252525252525252
2021,HBFR,15.0,0.012626262626262626,1,0.005050505050505051
2021,HFFL,34.0,0.02861952861952862,5,0.025252525252525252
2021,HFFR,33.0,0.027777777777777776,4,0.020202020202020204
2021,INT,51.0,0.04292929292929293,6,0.030303030303030304
2021,R,146.0,0.12289562289562289,32,0.16161616161616163
2021,RK,64.0,0.05387205387205387,9,0.045454545454545456
2021,RR,248.0,0.20875420875420875,50,0.25252525252525254
2021,SUB,0.0,0.0,0,0.0
2021,WL,48.0,0.04040404040404041,6,0.030303030303030304
2021,WR,32.0,0.026936026936026935,3,0.015151515151515152
2022,BPL,12.0,0.010101010101010102,2,0.010101010101010102
2022,BPR,6.0,0.005050505050505051,0,0.0
2022,C,185.0,0.15572390572390574,34,0.1717171717171717
2022,CHB,23.0,0.01936026936026936,4,0.020202020202020204
2022,CHF,74.0,0.06228956228956229,15,0.07575757575757576
2022,FB,9.0,0.007575757575757576,1,0.005050505050505051
2022,FF,92.0,0.07744107744107744,15,0.07575757575757576
2022,FPL,38.0,0.03198653198653199,7,0.03535353535353535
2022,FPR,43.0,0.0361952861952862,7,0.03535353535353535
2022,HBFL,28.0,0.02356902356902357,5,0.025252525252525252
2022,HBFR,40.0,0.03367003367003367,7,0.03535353535353535
2022,HFFL,50.0,0.04208754208754209,5,0.025252525252525252
2022,HFFR,49.0,0.041245791245791245,9,0.045454545454545456
2022,INT,80.0,0.06734006734006734,8,0.04040404040404041
2022,R,111.0,0.09343434343434344,18,0.09090909090909091
2022,RK,57.0,0.047979797979797977,11,0.05555555555555555
2022,RR,195.0,0.16414141414141414,35,0.17676767676767677
2022,SUB,1.0,0.0008417508417508417,0,0.0
2022,WL,32.0,0.026936026936026935,6,0.030303030303030304
2022,WR,63.0,0.05303030303030303,9,0.045454545454545456
2023,BPL,15.0,0.012077294685990338,1,0.004830917874396135
2023,BPR,12.0,0.00966183574879227,0,0.0
2023,C,193.0,0.15539452495974235,39,0.18840579710144928
2023,CHB,45.0,0.036231884057971016,10,0.04830917874396135
2023,CHF,39.0,0.03140096618357488,4,0.01932367149758454
2023,FB,32.0,0.02576489533011272,6,0.028985507246376812
2023,FF,94.0,0.07568438003220612,14,0.06763285024154589
2023,FPL,50.0,0.040257648953301126,8,0.03864734299516908
2023,FPR,43.0,0.03462157809983897,9,0.043478260869565216
2023,HBFL,24.0,0.01932367149758454,3,0.014492753623188406
2023,HBFR,37.0,0.029790660225442835,3,0.014492753623188406
2023,HFFL,29.0,0.023349436392914653,2,0.00966183574879227
2023,HFFR,44.0,0.03542673107890499,9,0.043478260869565216
2023,INT,73.0,0.05877616747181964,10,0.04830917874396135
2023,R,198.0,0.15942028985507245,39,0.18840579710144928
2023,RK,31.0,0.0249597423510467,4,0.01932367149758454
2023,RR,199.0,0.16022544283413848,34,0.1642512077294686
2023,SUB,0.0,0.0,0,0.0
2023,WL,55.0,0.04428341384863124,9,0.043478260869565216
2023,WR,29.0,0.023349436392914653,3,0.014492753623188406
2024,BPL,20.0,0.01610305958132045,4,0.01932367149758454
2024,BPR,9.0,0.007246376811594203,2,0.00966183574879227
2024,C,226.0,0.1819645732689211,44,0.21256038647342995
2024,CHB,54.0,0.043478260869565216,10,0.04830917874396135
2024,CHF,59.0,0.04750402576489533,11,0.05314009661835749
2024,FB,9.0,0.007246376811594203,0,0.0
2024,FF,64.0,0.05152979066022544,10,0.04830917874396135
2024,FPL,47.0,0.03784219001610306,6,0.028985507246376812
2024,FPR,41.0,0.033011272141706925,6,0.028985507246376812
2024,HBFL,47.0,0.03784219001610306,3,0.014492753623188406
2024,HBFR,45.0,0.036231884057971016,3,0.014492753623188406
2024,HFFL,25.0,0.020128824476650563,3,0.014492753623188406
2024,HFFR,29.0,0.023349436392914653,3,0.014492753623188406
2024,INT,64.0,0.05152979066022544,12,0.057971014492753624
2024,R,174.0,0.14009661835748793,38,0.18357487922705315
2024,RK,48.0,0.03864734299516908,8,0.03864734299516908
2024,RR,209.0,0.1682769726247987,35,0.16908212560386474
2024,SUB,0.0,0.0,0,0.0
2024,WL,26.0,0.020933977455716585,3,0.014492753623188406
2024,WR,46.0,0.037037037037037035,6,0.028985507246376812
2025,BPL,32.0,0.025889967637540454,8,0.038834951456310676
2025,BPR,19.0,0.015372168284789644,1,0.0048543689320388345
2025,C,200.0,0.16181229773462782,30,0.14563106796116504
2025,CHB,49.0,0.03964401294498382,8,0.038834951456310676
2025,CHF,57.0,0.04611650485436893,12,0.05825242718446602
2025,FB,13.0,0.010517799352750809,0,0.0
2025,FF,50.0,0.040453074433656956,6,0.02912621359223301
2025,FPL,46.0,0.0372168284789644,9,0.043689320388349516
2025,FPR,37.0,0.029935275080906147,8,0.038834951456310676
2025,HBFL,21.0,0.01699029126213592,1,0.0048543689320388345
2025,HBFR,33.0,0.02669902912621359,4,0.019417475728155338
2025,HFFL,28.0,0.022653721682847898,3,0.014563106796116505
2025,HFFR,45.0,0.03640776699029126,6,0.02912621359223301
2025,INT,54.0,0.043689320388349516,8,0.038834951456310676
2025,R,204.0,0.1650485436893204,31,0.15048543689320387
2025,RK,85.0,0.06877022653721683,15,0.07281553398058252
2025,RR,212.0,0.1715210355987055,47,0.22815533980582525
2025,SUB,0.0,0.0,0,0.0
2025,WL,23.0,0.0186084142394822,4,0.019417475728155338
2025,WR,28.0,0.022653721682847898,5,0.024271844660194174
