feature,recent_mean,2026_mean,standardized_mean_diff,psi,missingness_shift,recent_p10,recent_p50,recent_p90,2026_p10,2026_p50,2026_p90,suspicious
disposals,15.569565217391304,16.01617307288385,0.0606194059042059,0.008955991304801148,0.0,7.0,15.0,26.0,8.0,15.0,26.0,False
tackles,2.6245091164095373,2.493383742911153,-0.058497873860058204,0.0032747709316855197,0.0,0.0,2.0,6.0,0.0,2.0,5.0,False
stoppage_clearances,1.0981767180925666,1.0092417559336273,-0.05747806264664333,0.005068985577358269,0.0,0.0,1.0,3.0,0.0,0.0,3.0,False
score_launches,0.9882538569424965,1.054400336063852,0.05621567762355227,0.0034734215392191983,0.0,0.0,1.0,3.0,0.0,1.0,3.0,False
behinds,0.37363253856942497,0.41178323881537493,0.05510716804029248,0.0014521024367344965,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
ground_ball_gets,3.899754558204769,3.7534131484982147,-0.053467095561207656,0.005280010362939002,0.0,1.0,3.0,8.0,1.0,3.0,7.0,False
contest_def_one_on_ones,0.5051893408134642,0.4478050829657635,-0.051808989721212166,0.0022580563253664005,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
shots_at_goal,1.0939340813464236,1.1698172652804033,0.050411706243009745,0.0020141740934645344,0.0,0.0,1.0,3.0,0.0,1.0,3.0,False
goal_assists,0.38162692847124824,0.41304347826086957,0.04665374724902523,0.0025800978201468068,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
metres_gained,254.7561711079944,261.66582650703634,0.045507983625825775,0.006739200385451963,0.0,78.0,231.0,461.0,90.0,238.0,463.0,False
tackles_10p,0.012762973352033661,0.007666456626759084,-0.04540243976045143,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
intercept_marks,0.6746143057503506,0.6241335853812224,-0.044164041870188624,0.002267603451204322,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
blowout,0.3225806451612903,0.34299516908212563,0.043670049967135686,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
contested_marks,0.42489481065918655,0.39025414828817473,-0.043526815482636004,0.0005865648880339207,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
contested_possessions,5.7585904628331,5.613001470279353,-0.04015137127648615,0.006349956178313222,0.0,2.0,5.0,11.0,2.0,5.0,10.0,False
centre_clearances,0.517671809256662,0.5595463137996219,0.039421207773531565,0.0011710375530503947,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
coach_residual_abs,0.43122996999481,0.39511273282407444,-0.03928591081650974,0.005395370958560759,0.0,0.00551773508594178,0.046742679652012606,1.4170489171392693,0.005049466321706109,0.039165248374416484,1.2710608326262582,False
contest_def_losses,0.13201262272089762,0.1157319890779248,-0.038812740879164975,0.001407197296222809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
one_percenters,1.9238779803646564,1.838899390884268,-0.03813663507783557,0.001828478707474299,0.0,0.0,1.0,5.0,0.0,1.0,5.0,False
coach_negative_residual,-0.21934035034152075,-0.19794972825849932,0.03708117076989086,0.007830911716276538,0.0,-0.676477377963808,-0.0103414203920092,0.0,-0.5757391483332938,-0.00588067684387511,0.0,False
attendance,36864.61129032258,37551.20289855073,0.036289485209217584,0.045013043302638014,0.0,11463.400000000001,35545.0,62357.5000000008,13309.0,35850.0,62117.0,False
guernsey_number,20.595091164095372,21.03612686410418,0.03366164620932459,0.004400554236019107,0.0,4.0,19.0,40.0,4.0,20.0,40.0,False
goals,0.5317671809256662,0.5615416929216551,0.03154395475174052,0.0013588932709878779,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
goals_3p,0.04761570827489481,0.05398025624868725,0.02988675161154814,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
close_game,0.29354838709677417,0.28019323671497587,-0.02932649149992595,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
effective_kicks,6.100210378681627,6.21340054610376,0.02929755444058164,0.004695833530245267,0.0,2.0,5.0,11.0,2.0,6.0,12.0,False
player_age,25.71168650000526,25.828067671646714,0.029202453110486772,0.008635487138946787,0.0,20.53,25.46,31.23,20.438329915,25.5338809,31.6899384,False
free_kicks_against,0.7933029453015428,0.8180004200798152,0.025644992884781892,0.001327555937128712,0.0,0.0,1.0,2.0,0.0,1.0,2.0,False
free_kicks_for,0.7946704067321179,0.8187355597563537,0.02484090216897793,0.001108833207508515,0.0,0.0,1.0,2.0,0.0,1.0,2.0,False
marks,3.9430224403927068,4.005881117412308,0.024137384739127205,0.0030690960840369487,0.0,1.0,4.0,7.0,1.0,4.0,7.0,False
afl_fantasy_score,66.31367461430575,66.96555345515648,0.02320346610776781,0.01339704551036786,0.0,31.0,65.0,104.0,35.0,65.0,102.0,False
marks_inside_fifty,0.5172159887798037,0.5392774627179164,0.02224849748243064,0.000285714380132722,0.0,0.0,0.0,2.0,0.0,0.0,2.0,False
