player_position,coaches_votes,P_brownlow_0,P_brownlow_1,P_brownlow_2,P_brownlow_3,E_brownlow,n
CHF,2,0.7948717948717948,0.1282051282051282,0.07692307692307693,0.0,0.28205128205128205,78
CHF,3,0.8783783783783784,0.05405405405405406,0.05405405405405406,0.013513513513513514,0.20270270270270271,74
CHF,4,0.6515151515151515,0.10606060606060606,0.13636363636363635,0.10606060606060606,0.696969696969697,66
CHF,5,0.5263157894736842,0.17543859649122806,0.15789473684210525,0.14035087719298245,0.9122807017543859,57
CHF,6,0.4222222222222222,0.35555555555555557,0.15555555555555556,0.06666666666666667,0.8666666666666667,45
CHF,7,0.2564102564102564,0.20512820512820512,0.3333333333333333,0.20512820512820512,1.4871794871794872,39
CHF,8,0.19230769230769232,0.28846153846153844,0.34615384615384615,0.17307692307692307,1.5,52
CHF,9,0.10416666666666667,0.125,0.3541666666666667,0.4166666666666667,2.0833333333333335,48
CHF,10,0.06557377049180328,0.03278688524590164,0.21311475409836064,0.6885245901639344,2.5245901639344264,61
FB,0,0.9957739038563127,0.002641310089804543,0.0013206550449022716,0.0002641310089804543,0.006075013206550449,3786
FB,1,0.95,0.02,0.02,0.01,0.09,100
FB,2,0.9669421487603306,0.008264462809917356,0.01652892561983471,0.008264462809917356,0.06611570247933884,121
FB,3,0.9558823529411765,0.0,0.029411764705882353,0.014705882352941176,0.10294117647058823,68
FB,4,0.8472222222222222,0.09722222222222222,0.041666666666666664,0.013888888888888888,0.2222222222222222,72
FB,5,0.8974358974358975,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.1794871794871795,39
FB,6,0.71875,0.15625,0.125,0.0,0.40625,32
FB,7,0.7407407407407407,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.5185185185185185,27
FB,8,0.6428571428571429,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.7142857142857143,14
FB,9,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.0,0.35714285714285715,14
FB,10,0.3333333333333333,0.06060606060606061,0.30303030303030304,0.30303030303030304,1.5757575757575757,33
FF,0,0.9897506925207756,0.007479224376731302,0.002770083102493075,0.0,0.01301939058171745,3610
FF,1,0.9047619047619048,0.05714285714285714,0.02857142857142857,0.009523809523809525,0.14285714285714285,105
FF,2,0.8431372549019608,0.058823529411764705,0.08823529411764706,0.00980392156862745,0.2647058823529412,102
FF,3,0.6923076923076923,0.13846153846153847,0.12307692307692308,0.046153846153846156,0.5230769230769231,65
FF,4,0.7058823529411765,0.1568627450980392,0.11764705882352941,0.0196078431372549,0.45098039215686275,51
FF,5,0.4482758620689655,0.22413793103448276,0.3103448275862069,0.017241379310344827,0.896551724137931,58
FF,6,0.46,0.14,0.34,0.06,1.0,50
FF,7,0.275,0.2,0.375,0.15,1.4,40
FF,8,0.2,0.22857142857142856,0.3,0.2714285714285714,1.6428571428571428,70
FF,9,0.07017543859649122,0.17543859649122806,0.3508771929824561,0.40350877192982454,2.087719298245614,57
FF,10,0.08163265306122448,0.09183673469387756,0.12244897959183673,0.7040816326530612,2.4489795918367347,98
FPL,0,0.9944605644948562,0.0021102611448166712,0.002637826431020839,0.0007913479293062516,0.009759957794777103,3791
FPL,1,0.9021739130434783,0.06521739130434782,0.03260869565217391,0.0,0.13043478260869565,92
FPL,2,0.8823529411764706,0.09411764705882353,0.023529411764705882,0.0,0.1411764705882353,85
FPL,3,0.8545454545454545,0.07272727272727272,0.01818181818181818,0.05454545454545454,0.2727272727272727,55
FPL,4,0.7254901960784313,0.17647058823529413,0.0784313725490196,0.0196078431372549,0.39215686274509803,51
FPL,5,0.5,0.15217391304347827,0.2391304347826087,0.10869565217391304,0.9565217391304348,46
