window,validation_year,fit_season,min_train_year,max_train_year,feature,std_coefficient,intercept
expanding_prior,2024.0,,2015,2023,close_game,4.27130926931311e-05,0.1342489005477972
expanding_prior,2024.0,,2015,2023,blowout,2.891070553191831e-05,0.1342489005477972
expanding_prior,2025.0,,2015,2024,coaches_votes,0.363406811033265,0.13383282925488038
expanding_prior,2025.0,,2015,2024,disposals__match_pct,0.015200063265839326,0.13383282925488038
expanding_prior,2025.0,,2015,2024,contested_possessions__match_pct,-0.005087402324592568,0.13383282925488038
expanding_prior,2025.0,,2015,2024,clearances__match_pct,0.02763068504659303,0.13383282925488038
expanding_prior,2025.0,,2015,2024,goals__match_pct,0.02126257300120522,0.13383282925488038
expanding_prior,2025.0,,2015,2024,score_involvements__match_pct,0.004400078131664533,0.13383282925488038
expanding_prior,2025.0,,2015,2024,team_won,0.003947282093321751,0.13383282925488038
expanding_prior,2025.0,,2015,2024,close_game,5.196154100831543e-05,0.13383282925488038
expanding_prior,2025.0,,2015,2024,blowout,2.0041138267378605e-05,0.13383282925488038
single_season,,2015.0,2015,2015,coaches_votes,0.3730294561076687,0.13636363636363633
single_season,,2015.0,2015,2015,disposals__match_pct,0.007435883746200124,0.13636363636363633
single_season,,2015.0,2015,2015,contested_possessions__match_pct,0.00024268284018036149,0.13636363636363633
single_season,,2015.0,2015,2015,clearances__match_pct,0.029805006883168783,0.13636363636363633
single_season,,2015.0,2015,2015,goals__match_pct,0.015178981418658753,0.13636363636363633
single_season,,2015.0,2015,2015,score_involvements__match_pct,0.0023132882907791145,0.13636363636363633
single_season,,2015.0,2015,2015,team_won,0.006331245929359639,0.13636363636363633
single_season,,2015.0,2015,2015,close_game,0.00015107635976450176,0.13636363636363633
single_season,,2015.0,2015,2015,blowout,-5.897095265724799e-05,0.13636363636363633
single_season,,2016.0,2016,2016,coaches_votes,0.38967983398148986,0.13636363636363633
single_season,,2016.0,2016,2016,disposals__match_pct,0.00702481185722966,0.13636363636363633
single_season,,2016.0,2016,2016,contested_possessions__match_pct,-0.004329790592469353,0.13636363636363633
single_season,,2016.0,2016,2016,clearances__match_pct,0.01906287389899389,0.13636363636363633
single_season,,2016.0,2016,2016,goals__match_pct,0.01624022043556747,0.13636363636363633
single_season,,2016.0,2016,2016,score_involvements__match_pct,0.006719203232593122,0.13636363636363633
single_season,,2016.0,2016,2016,team_won,-0.0006101538248474445,0.13636363636363633
single_season,,2016.0,2016,2016,close_game,1.0909451643770863e-05,0.13636363636363633
single_season,,2016.0,2016,2016,blowout,-6.692363423406444e-06,0.13636363636363633
single_season,,2017.0,2017,2017,coaches_votes,0.3821077639591071,0.13636363636363635
single_season,,2017.0,2017,2017,disposals__match_pct,0.019081935237735957,0.13636363636363635
single_season,,2017.0,2017,2017,contested_possessions__match_pct,-0.004347440990006077,0.13636363636363635
single_season,,2017.0,2017,2017,clearances__match_pct,0.013437370680658194,0.13636363636363635
single_season,,2017.0,2017,2017,goals__match_pct,0.029186299213748216,0.13636363636363635
single_season,,2017.0,2017,2017,score_involvements__match_pct,0.0004609237029732428,0.13636363636363635
single_season,,2017.0,2017,2017,team_won,0.001342831167678798,0.13636363636363635
single_season,,2017.0,2017,2017,close_game,8.695700751158699e-05,0.13636363636363635
single_season,,2017.0,2017,2017,blowout,3.237025969871119e-05,0.13636363636363635
single_season,,2018.0,2018,2018,coaches_votes,0.38017888005520467,0.13636363636363635
single_season,,2018.0,2018,2018,disposals__match_pct,0.023703867658236948,0.13636363636363635
single_season,,2018.0,2018,2018,contested_possessions__match_pct,-0.007989574795197237,0.13636363636363635
single_season,,2018.0,2018,2018,clearances__match_pct,0.014895237023560647,0.13636363636363635
single_season,,2018.0,2018,2018,goals__match_pct,0.027032676666210075,0.13636363636363635
single_season,,2018.0,2018,2018,score_involvements__match_pct,-0.005330353886536634,0.13636363636363635
single_season,,2018.0,2018,2018,team_won,0.003243156604864626,0.13636363636363635
single_season,,2018.0,2018,2018,close_game,-3.5041188775903904e-05,0.13636363636363635
single_season,,2018.0,2018,2018,blowout,-2.910263822004694e-05,0.13636363636363635
single_season,,2019.0,2019,2019,coaches_votes,0.38445228107839363,0.13636363636363633
single_season,,2019.0,2019,2019,disposals__match_pct,0.017114914367590172,0.13636363636363633
single_season,,2019.0,2019,2019,contested_possessions__match_pct,-0.004133695794789113,0.13636363636363633
single_season,,2019.0,2019,2019,clearances__match_pct,0.02412141201081562,0.13636363636363633
single_season,,2019.0,2019,2019,goals__match_pct,0.020191645420586293,0.13636363636363633
single_season,,2019.0,2019,2019,score_involvements__match_pct,0.003784372098259938,0.13636363636363633
single_season,,2019.0,2019,2019,team_won,-0.008401087863503881,0.13636363636363633
single_season,,2019.0,2019,2019,close_game,-3.277145575342109e-05,0.13636363636363633
single_season,,2019.0,2019,2019,blowout,-0.00043679653410371,0.13636363636363633
single_season,,2020.0,2020,2020,coaches_votes,0.34781604483778295,0.13636363636363635
single_season,,2020.0,2020,2020,disposals__match_pct,0.014787910034067603,0.13636363636363635
single_season,,2020.0,2020,2020,contested_possessions__match_pct,0.004807851826277551,0.13636363636363635
single_season,,2020.0,2020,2020,clearances__match_pct,0.025011180482782776,0.13636363636363635
