season,feature,feature_family,pearson,spearman,n
2022,score_involvements__match_pct,match_pct,0.2932627447096068,0.308890354351092,9108
2022,metres_gained__match_pct,match_pct,0.2617235981036854,0.2748496638051721,9108
2022,coaches_votes__match_pct,match_pct,0.562800991006144,0.3625862712223308,9108
2023,coaches_votes,raw,0.6452539872737809,0.5331696067380903,9522
2023,supercoach_score,raw,0.3752680507024596,0.33892646233409074,9522
2023,afl_fantasy_score,raw,0.3645401951196538,0.33269670309619825,9522
2023,rating_points,raw,0.35430034174898595,0.30480140828889934,9522
2023,disposals,raw,0.33650918161018667,0.287561120369746,9522
2023,contested_possessions,raw,0.329647037811233,0.2697658243130189,9522
2023,clearances,raw,0.3231756434519642,0.22521794880353582,9522
2023,goals,raw,0.2634704666039328,0.16676646916872867,9522
2023,score_involvements,raw,0.3316067077610375,0.2800437927258469,9522
2023,metres_gained,raw,0.2724729638889597,0.24804923310971547,9522
2023,supercoach_score__match_pct,match_pct,0.3178976461320673,0.33730652069777006,9522
2023,afl_fantasy_score__match_pct,match_pct,0.31608695262364966,0.33280987039291093,9522
2023,rating_points__match_pct,match_pct,0.28541939194156957,0.30430529255862093,9522
2023,disposals__match_pct,match_pct,0.27533273708925493,0.28882948199436553,9522
2023,contested_possessions__match_pct,match_pct,0.25649229659943185,0.26726993155388934,9522
2023,clearances__match_pct,match_pct,0.21928593501232657,0.2121293478160771,9522
2023,goals__match_pct,match_pct,0.15999766909542074,0.14448515339287246,9522
2023,score_involvements__match_pct,match_pct,0.2758403070848808,0.286588533304675,9522
2023,metres_gained__match_pct,match_pct,0.2374263444680482,0.24603971040695627,9522
2023,coaches_votes__match_pct,match_pct,0.5212672318220984,0.32994378947590325,9522
2024,coaches_votes,raw,0.6527950860260423,0.5397886438916634,9522
2024,supercoach_score,raw,0.39010565322878477,0.3516445353118422,9522
2024,afl_fantasy_score,raw,0.37753848240538496,0.3431386406927112,9522
2024,rating_points,raw,0.3664853290451495,0.3096744838005706,9522
2024,disposals,raw,0.3827275166789639,0.3145402409835451,9522
2024,contested_possessions,raw,0.35479912149447185,0.27570348902432823,9522
2024,clearances,raw,0.3555200221113981,0.25120927041585317,9522
2024,goals,raw,0.21497780113101292,0.16171429384329752,9522
2024,score_involvements,raw,0.3498318603496675,0.2938991359951874,9522
2024,metres_gained,raw,0.2970154879687463,0.27056851420505,9522
2024,supercoach_score__match_pct,match_pct,0.3315735561144811,0.34964285247777427,9522
2024,afl_fantasy_score__match_pct,match_pct,0.325320212911788,0.34223713212018975,9522
2024,rating_points__match_pct,match_pct,0.2971937493272934,0.30975330793941525,9522
2024,disposals__match_pct,match_pct,0.30090867018575457,0.3124093460335367,9522
2024,contested_possessions__match_pct,match_pct,0.26672812995286976,0.2757241596648746,9522
2024,clearances__match_pct,match_pct,0.2482793758993852,0.23903166275939097,9522
2024,goals__match_pct,match_pct,0.1528855238448253,0.14312568282016083,9522
2024,score_involvements__match_pct,match_pct,0.2906520643340199,0.3027447969387578,9522
2024,metres_gained__match_pct,match_pct,0.25776335452450544,0.2688814756525975,9522
2024,coaches_votes__match_pct,match_pct,0.5238684868463627,0.3311188612451048,9522
2025,coaches_votes,raw,0.6653105353676907,0.5467571507288901,9476
2025,supercoach_score,raw,0.3890007779962871,0.3466492371408402,9476
2025,afl_fantasy_score,raw,0.3870099716082915,0.3463146250713064,9476
2025,rating_points,raw,0.375797849758609,0.31850892150183996,9476
2025,disposals,raw,0.3742628069024213,0.3126678616854361,9476
2025,contested_possessions,raw,0.34877123938496013,0.2763946961899093,9476
2025,clearances,raw,0.3439681298869341,0.2509607896730423,9476
2025,goals,raw,0.22156075085891125,0.15248998976960484,9476
2025,score_involvements,raw,0.3335908746020036,0.27446799108940034,9476
2025,metres_gained,raw,0.30650973271683246,0.2703696472267125,9476
2025,supercoach_score__match_pct,match_pct,0.33024631114829167,0.34514347936974343,9476
2025,afl_fantasy_score__match_pct,match_pct,0.33217430535793296,0.346772762766204,9476
2025,rating_points__match_pct,match_pct,0.3028726850402249,0.31874460695410445,9476
2025,disposals__match_pct,match_pct,0.29787889766785064,0.31339938743424484,9476
2025,contested_possessions__match_pct,match_pct,0.2650899295611512,0.2744646352143225,9476
2025,clearances__match_pct,match_pct,0.2444636530213511,0.23683160890654123,9476
2025,goals__match_pct,match_pct,0.14536817998213097,0.1329652541038642,9476
2025,score_involvements__match_pct,match_pct,0.2768056603607733,0.2836237201644686,9476
2025,metres_gained__match_pct,match_pct,0.2521420646442958,0.26733711346177413,9476
2025,coaches_votes__match_pct,match_pct,0.5350582902778035,0.3403177783279535,9476
