player_id,player,team,predicted_expected_votes,actual_votes,games,error,absolute_error,predicted_rank,actual_rank,rank_error
11713,Taylor Walker,Adelaide,4.838181664878103,3,16,1.8381816648781033,1.8381816648781033,71,87,-16
12953,Josh Rachele,Adelaide,4.773566068978445,8,23,-3.226433931021555,3.226433931021555,72,53,19
12455,Matthew Kennedy,Western Bulldogs,4.656559072832957,2,23,2.656559072832957,2.656559072832957,73,112,-39
12406,Darcy Parish,Essendon,4.593183708815127,6,14,-1.4068162911848727,1.4068162911848727,74,62,12
11700,Patrick Dangerfield,Geelong,4.527624667917998,3,17,1.5276246679179977,1.5276246679179977,75,87,-12
12595,Tim Kelly,West Coast,4.52030058432348,2,21,2.52030058432348,2.52030058432348,76,112,-36
12711,Justin McInerney,Sydney,4.4833199540733135,3,13,1.4833199540733135,1.4833199540733135,77,87,-10
12766,Mitch Georgiades,Port Adelaide,4.379531618434354,2,21,2.3795316184343536,2.3795316184343536,78,112,-34
13129,Patrick Voss,Fremantle,4.376179710196563,7,22,-2.6238202898034366,2.6238202898034366,79,56,23
4182,Scott Pendlebury,Collingwood,4.373252167101798,5,17,-0.6267478328982019,0.6267478328982019,80,68,12
12660,Darcy Cameron,Collingwood,4.23575212568761,1,22,3.2357521256876103,3.2357521256876103,81,140,-59
13168,Archie Roberts,Essendon,4.193825191271768,1,21,3.1938251912717677,3.1938251912717677,82,140,-58
12955,Josh Ward,Hawthorn,4.080822691761124,3,23,1.0808226917611243,1.0808226917611243,83,87,-4
12594,Aaron Naughton,Western Bulldogs,4.04618970939217,4,22,0.04618970939216993,0.04618970939216993,84,77,7
12325,Jack Sinclair,St Kilda,4.014309614069942,1,15,3.0143096140699424,3.0143096140699424,85,140,-55
12794,Will Day,Hawthorn,3.9929162411331403,6,11,-2.0070837588668597,2.0070837588668597,86,62,24
12703,Callum Wilkie,St Kilda,3.8561047091844927,9,23,-5.143895290815507,5.143895290815507,87,45,42
12892,Riley Thilthorpe,Adelaide,3.8294739378244604,5,20,-1.1705260621755396,1.1705260621755396,88,68,20
12992,Shannon Neale,Geelong,3.8067765746449287,5,23,-1.1932234253550713,1.1932234253550713,89,68,21
12584,Darcy Fogarty,Adelaide,3.6828648188137,4,14,-0.31713518118630013,0.31713518118630013,90,77,13
12927,Jack Ginnivan,Hawthorn,3.6818796301770798,7,22,-3.3181203698229202,3.3181203698229202,91,56,35
12788,Tristan Xerri,North Melbourne,3.6779061202945753,3,19,0.6779061202945753,0.6779061202945753,92,87,5
11953,Luke Parker,North Melbourne,3.652000214234493,6,23,-2.347999785765507,2.347999785765507,93,62,31
12433,Aliir Aliir,Port Adelaide,3.492850763419764,4,22,-0.5071492365802359,0.5071492365802359,94,77,17
12728,Ben King,Gold Coast,3.480966732459147,4,23,-0.5190332675408529,0.5190332675408529,95,77,18
12332,James Sicily,Hawthorn,3.3800078512899057,3,22,0.38000785128990566,0.38000785128990566,96,87,9
12871,Tanner Bruhn,Geelong,3.340337885750108,3,21,0.3403378857501078,0.3403378857501078,97,87,10
12600,Liam Ryan,St Kilda,3.214009576595685,2,17,1.2140095765956849,1.2140095765956849,98,112,-14
12975,Paul Curtis,North Melbourne,3.0957702224356582,2,20,1.0957702224356582,1.0957702224356582,99,112,-13
12291,Daniel McStay,Collingwood,3.04997959933941,3,23,0.0499795993394101,0.0499795993394101,100,87,13
12563,Nick Larkey,North Melbourne,3.0221851775873647,1,23,2.0221851775873647,2.0221851775873647,101,140,-39
12925,Sam Durham,Essendon,2.994284926994001,4,20,-1.005715073005999,1.005715073005999,102,77,25
12601,Jake Waterman,West Coast,2.975479494649722,6,23,-3.024520505350278,3.024520505350278,103,62,41
12469,Blake Hardwick,Hawthorn,2.9392774433903663,3,23,-0.06072255660963366,0.06072255660963366,104,87,17
12408,Josh Dunkley,Brisbane Lions,2.866592924849142,1,23,1.866592924849142,1.866592924849142,105,140,-35
13007,Jase Burgoyne,Port Adelaide,2.789613704362145,3,23,-0.21038629563785483,0.21038629563785483,106,87,19
12756,Kade Chandler,Melbourne,2.778053832554257,3,22,-0.22194616744574303,0.22194616744574303,107,87,20
12354,Bailey Dale,Western Bulldogs,2.772863934865816,0,18,2.772863934865816,2.772863934865816,108,184,-76
13103,Ryley Sanders,Western Bulldogs,2.7389298751712268,0,21,2.7389298751712268,2.7389298751712268,109,184,-75
12412,Tom Papley,Sydney,2.6049134174496613,3,18,-0.3950865825503387,0.3950865825503387,110,87,23
13184,Harvey Langford,Melbourne,2.6048662769582696,3,23,-0.39513372304173044,0.39513372304173044,111,87,24
12873,Francis Evans,Carlton,2.595845436847232,0,21,2.595845436847232,2.595845436847232,112,184,-72
13140,Joel Freijah,Western Bulldogs,2.5884767362279546,3,23,-0.4115232637720454,0.4115232637720454,113,87,26
12502,Jy Simpkin,North Melbourne,2.544413917900221,2,23,0.5444139179002212,0.5444139179002212,114,112,2
12688,Jordan Clark,Fremantle,2.542892455249513,3,23,-0.4571075447504871,0.4571075447504871,115,87,28
12076,Dayne Zorko,Brisbane Lions,2.5404629885597263,1,13,1.5404629885597263,1.5404629885597263,116,140,-24
11898,Tom Liberatore,Western Bulldogs,2.5386365820682313,0,11,2.5386365820682313,2.5386365820682313,117,184,-67
12598,Bayley Fritsch,Melbourne,2.514841243334557,0,21,2.514841243334557,2.514841243334557,118,184,-66
13026,Darcy Wilmot,Brisbane Lions,2.4640122499928543,3,23,-0.5359877500071457,0.5359877500071457,119,87,32
12712,Jack Ross,Richmond,2.427254818060803,3,19,-0.5727451819391969,0.5727451819391969,120,87,33
13075,Karl Worner,Fremantle,2.406108749450136,0,23,2.406108749450136,2.406108749450136,121,184,-63
12636,Mitch Lewis,Hawthorn,2.3887087430581255,1,22,1.3887087430581255,1.3887087430581255,122,140,-18
12566,Harry McKay,Carlton,2.3837454324063474,4,21,-1.6162545675936526,1.6162545675936526,123,77,46
12903,Malcolm Rosas,Sydney,2.3508635427439963,3,16,-0.6491364572560037,0.6491364572560037,124,87,37
12844,Joel Amartey,Sydney,2.3241098160432525,1,15,1.3241098160432525,1.3241098160432525,125,140,-15
12518,Hugh McCluggage,Brisbane Lions,2.2695806815180624,2,13,0.26958068151806236,0.26958068151806236,126,112,14
12686,Noah Balta,Richmond,2.2639963876034574,1,17,1.2639963876034574,1.2639963876034574,127,140,-13
13031,Cam Mackenzie,Hawthorn,2.2363799711308547,0,21,2.2363799711308547,2.2363799711308547,128,184,-56
12150,Ollie Wines,Port Adelaide,2.2352677933074094,0,19,2.2352677933074094,2.2352677933074094,129,184,-55
12710,Dylan Moore,Hawthorn,2.16556848334668,2,22,0.16556848334667995,0.16556848334667995,130,112,18
12028,Stephen Coniglio,Greater Western Sydney,2.1654104191405357,2,21,0.16541041914053567,0.16541041914053567,131,112,19
12934,James Peatling,Adelaide,2.1540729108068453,2,21,0.15407291080684526,0.15407291080684526,132,112,20
13107,Colby McKercher,North Melbourne,2.1336934886390253,2,23,0.1336934886390253,0.1336934886390253,133,112,21
13041,Bodhi Uwland,Gold Coast,2.115960850605332,1,23,1.1159608506053318,1.1159608506053318,134,140,-6
12165,Rory Laird,Adelaide,2.1159432945513235,1,18,1.1159432945513235,1.1159432945513235,135,140,-5
13263,Cooper Trembath,North Melbourne,2.0604451410322837,2,23,0.06044514103228371,0.06044514103228371,136,112,24
12609,Jack Higgins,St Kilda,2.0557668812062104,0,16,2.0557668812062104,2.0557668812062104,137,184,-47
12340,Harris Andrews,Brisbane Lions,2.0307122644237734,0,20,2.0307122644237734,2.0307122644237734,138,184,-46
13160,Lawson Humphries,Geelong,2.00056785069875,2,22,0.0005678506987498722,0.0005678506987498722,139,112,27
12495,Dan Houston,Collingwood,1.981105491102537,0,23,1.981105491102537,1.981105491102537,140,184,-44
12801,Michael Frederick,Fremantle,1.876306925873981,0,18,1.876306925873981,1.876306925873981,141,184,-43
12796,Dylan Stephens,North Melbourne,1.832272795198636,2,23,-0.16772720480136405,0.16772720480136405,142,112,30
12393,Ed Langdon,Melbourne,1.8305996252094816,3,23,-1.1694003747905184,1.1694003747905184,143,87,56
12931,Jake Bowey,Melbourne,1.8130557482509708,0,15,1.8130557482509708,1.8130557482509708,144,184,-40
12948,Mitch Owens,St Kilda,1.8109476308053452,3,20,-1.1890523691946548,1.1890523691946548,145,87,58
12505,Tom Stewart,Geelong,1.7957344557072452,3,21,-1.2042655442927548,1.2042655442927548,146,87,59
12277,Charlie Cameron,Brisbane Lions,1.7461555797070787,0,23,1.7461555797070787,1.7461555797070787,147,184,-37
13047,Matthew Johnson,Fremantle,1.6872318493851728,2,22,-0.3127681506148272,0.3127681506148272,148,112,36
12836,Bailey Williams,West Coast,1.6559706428870027,1,19,0.6559706428870027,0.6559706428870027,149,140,9
